model_id,n_params,gpu_model,tdp_w,train_type,task,downloads,likes,source
cardiffnlp/twitter-roberta-base-sentiment,58000000000.0,,,fine-tune,text-classification,600796,337,huggingface
Maykeye/TinyLLama-v0,3000000000.0,a100,400.0,unknown,text-generation,600431,43,huggingface
amazon/chronos-t5-base,8000000000.0,,,pre-train,time-series-forecasting,597531,44,huggingface
jonatasgrosman/wav2vec2-large-xlsr-53-dutch,,,,fine-tune,automatic-speech-recognition,594686,15,huggingface
yuvalkirstain/PickScore_v1,2000000000.0,,,fine-tune,zero-shot-image-classification,594527,52,huggingface
allenai/Molmo2-8B,8000000000.0,,,pre-train,image-text-to-text,593956,186,huggingface
mistralai/Ministral-3-3B-Instruct-2512,3000000000.0,,,fine-tune,unknown,592574,244,huggingface
PaddlePaddle/PaddleOCR-VL-1.5-GGUF,3000000000.0,l4,72.0,unknown,unknown,590246,35,huggingface
Qdrant/bm25,,,,unknown,sentence-similarity,590002,32,huggingface
QuantTrio/Qwen3.6-27B-AWQ,27000000000.0,,,unknown,image-text-to-text,588307,13,huggingface
allenai/olmOCR-2-7B-1025-FP8,7000000000.0,,,fine-tune,image-text-to-text,587713,238,huggingface
openbmb/MiniCPM-V-4.6,800000000.0,,,pre-train,image-text-to-text,586209,1104,huggingface
Qwen/Qwen3-32B-AWQ,32000000000.0,t4,70.0,pre-train,text-generation,585013,135,huggingface
ELVISIO/Qwen3-30B-A3B-AWQ,30000000000.0,t4,70.0,fine-tune,unknown,584581,4,huggingface
sentence-transformers/all-roberta-large-v1,1000000000.0,,,fine-tune,sentence-similarity,584333,66,huggingface
google/paligemma-3b-pt-224,3000000000.0,,,fine-tune,image-text-to-text,583697,464,huggingface
google/gemma-4-12B-it,12000000000.0,,,fine-tune,any-to-any,581354,838,huggingface
IDEA-Research/grounding-dino-tiny,,,,pre-train,zero-shot-object-detection,581341,102,huggingface
kresnik/wav2vec2-large-xlsr-korean,,,,pre-train,automatic-speech-recognition,580572,56,huggingface
lightx2v/Wan2.2-Distill-Loras,14000000000.0,,,unknown,image-to-video,580372,255,huggingface
Lykon/dreamshaper-7,,,,fine-tune,text-to-image,580128,62,huggingface
cyankiwi/Qwen3-Next-80B-A3B-Instruct-AWQ-4bit,80000000000.0,,,pre-train,text-generation,577045,65,huggingface
Salesforce/SFR-Embedding-2_R,,,,pre-train,feature-extraction,576827,94,huggingface
cisco-ai/SecureBERT2.0-biencoder,,,,fine-tune,sentence-similarity,576742,4,huggingface
unsloth/Qwen3-VL-2B-Instruct-GGUF,2000000000.0,,,pre-train,image-text-to-text,576252,32,huggingface
intfloat/e5-small-v2,,,,pre-train,sentence-similarity,571085,118,huggingface
ibm-granite/granite-4.0-h-small,32000000000.0,,,fine-tune,text-generation,569199,307,huggingface
HauhauCS/Qwen3.5-9B-Uncensored-HauhauCS-Aggressive,9000000000.0,,,unknown,unknown,568277,1515,huggingface
flair/ner-english-fast,,,,unknown,token-classification,567553,26,huggingface
Davlan/xlm-roberta-large-ner-hrl,,v100,300.0,fine-tune,token-classification,567539,15,huggingface
Salesforce/blip2-opt-2.7b,2700000000.0,t4,70.0,fine-tune,image-text-to-text,567411,447,huggingface
facebook/dinov3-vitl16-pretrain-lvd1689m,17000000000.0,h100,700.0,pre-train,image-feature-extraction,562952,320,huggingface
opendatalab/MinerU2.5-Pro-2604-1.2B,3000000000.0,a100,400.0,pre-train,image-text-to-text,562072,152,huggingface
openai-community/roberta-base-openai-detector,1500000000.0,,,fine-tune,text-classification,561381,134,huggingface
Lightricks/LTX-2,19000000000.0,,,pre-train,image-to-video,560064,1740,huggingface
Doradus-AI/RnJ-1-Instruct-FP8,8000000000.0,rtx 4090,450.0,unknown,text-generation,559083,4,huggingface
cisco-ai/SecureBERT2.0-cross_encoder,,,,fine-tune,sentence-similarity,558602,3,huggingface
onnx-community/Kokoro-82M-v1.0-ONNX,82000000.0,l4,72.0,pre-train,text-to-speech,555384,225,huggingface
cyankiwi/Qwen3.5-27B-AWQ-4bit,27000000000.0,,,unknown,image-text-to-text,555001,41,huggingface
moonshotai/Kimi-K2-Instruct,32000000000.0,,,pre-train,text-generation,553601,2364,huggingface
Jackrong/Qwen3.5-9B-DeepSeek-V4-Flash-GGUF,9000000000.0,,,unknown,image-text-to-text,553225,215,huggingface
microsoft/VibeVoice-ASR,1000000000.0,,,unknown,automatic-speech-recognition,551172,1172,huggingface
NX-AI/TiRex,35000000000.0,,,fine-tune,time-series-forecasting,551062,92,huggingface
Salesforce/moirai-1.0-R-base,14000000000.0,,,pre-train,time-series-forecasting,550264,32,huggingface
facebook/hubert-large-ls960-ft,1000000000.0,,,fine-tune,automatic-speech-recognition,549291,76,huggingface
CompVis/stable-diffusion-safety-checker,,,,pre-train,unknown,548998,139,huggingface
microsoft/layoutlmv2-base-uncased,,,,unknown,unknown,548378,68,huggingface
aubmindlab/bert-base-arabertv02,1500000000.0,,,pre-train,fill-mask,547177,45,huggingface
Qwen/Qwen3-4B-Thinking-2507,4000000000.0,,,pre-train,text-generation,546587,595,huggingface
jinaai/jina-embeddings-v4,3000000000.0,,,pre-train,visual-document-retrieval,545487,523,huggingface
nvidia/NVIDIA-Nemotron-Nano-9B-v2,12000000000.0,a100,400.0,pre-train,text-generation,545070,494,huggingface
litert-community/gemma-4-E4B-it-litert-lm,4000000000.0,t4,70.0,unknown,unknown,541937,134,huggingface
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,30000000000.0,a100,400.0,fine-tune,text-generation,540442,348,huggingface
ibm-granite/granite-speech-4.1-2b,1000000000.0,h100,700.0,fine-tune,automatic-speech-recognition,539572,130,huggingface
deepset/roberta-base-squad2,,v100,300.0,fine-tune,question-answering,539012,943,huggingface
speechbrain/emotion-recognition-wav2vec2-IEMOCAP,,,,fine-tune,audio-classification,538938,188,huggingface
mistralai/Mistral-Small-3.2-24B-Instruct-2506,24000000000.0,,,pre-train,unknown,537956,593,huggingface
QuantTrio/Qwen3.6-35B-A3B-AWQ,35000000000.0,,,unknown,image-text-to-text,535566,26,huggingface
QuantTrio/Qwen3.5-9B-AWQ,9000000000.0,,,unknown,image-text-to-text,535411,19,huggingface
Helsinki-NLP/opus-mt-en-es,,,,unknown,translation,531093,122,huggingface
CohereLabs/cohere-transcribe-03-2026,2000000000.0,,,pre-train,automatic-speech-recognition,530201,982,huggingface
mixedbread-ai/mxbai-rerank-xsmall-v1,7000000000.0,l4,72.0,pre-train,text-ranking,527474,57,huggingface
nie3e/sentiment-polish-gpt2-small,,rtx 3090,350.0,pre-train,text-classification,526511,1,huggingface
microsoft/Florence-2-large,5400000000.0,,,fine-tune,image-text-to-text,526469,1816,huggingface
unsloth/gemma-4-31B-it-unsloth-bnb-4bit,31000000000.0,,,fine-tune,image-text-to-text,524896,19,huggingface
papluca/xlm-roberta-base-language-detection,,,,fine-tune,text-classification,524439,374,huggingface
QuantTrio/DeepSeek-V3.2-AWQ,,,,pre-train,text-generation,521040,11,huggingface
Qwen/Qwen3-VL-Reranker-8B,8000000000.0,,,unknown,text-ranking,520830,150,huggingface
HuggingFaceTB/SmolLM3-3B,3000000000.0,h100,700.0,pre-train,text-generation,519434,965,huggingface
jinaai/jina-embeddings-v5-text-nano,4000000000.0,,,pre-train,feature-extraction,518616,76,huggingface
braindecode/signal-jepa_without-chans,,,,pre-train,feature-extraction,518058,0,huggingface
facebook/dinov3-vitb16-pretrain-lvd1689m,17000000000.0,h100,700.0,pre-train,image-feature-extraction,513604,156,huggingface
OpenGVLab/InternVL3-8B-AWQ,72000000000.0,,,fine-tune,image-text-to-text,512125,8,huggingface
SG161222/Realistic_Vision_V5.1_noVAE,2000000000.0,,,unknown,text-to-image,510282,250,huggingface
Qwen/Qwen3-8B-FP8,8000000000.0,,,pre-train,text-generation,508973,59,huggingface
AbelZimba/whisper-bemba-stt,,,,fine-tune,automatic-speech-recognition,508743,0,huggingface
Qwen/Qwen2.5-Coder-7B-Instruct-GPTQ-Int4,32000000000.0,t4,70.0,pre-train,text-generation,508469,14,huggingface
EleutherAI/pythia-70m,1000000000.0,,,fine-tune,unknown,507612,81,huggingface
microsoft/deberta-xlarge-mnli,750000000000.0,,,fine-tune,text-classification,504010,23,huggingface
mistralai/Mistral-Nemo-Instruct-2407,7000000000.0,,,fine-tune,unknown,502103,1679,huggingface
timm/vit_base_patch14_dinov2.lvd142m,142000000000.0,,,pre-train,image-feature-extraction,501749,10,huggingface
google/flan-t5-small,540000000000.0,,,fine-tune,unknown,500860,481,huggingface
circulus/canvers-ko2en-v1,,,,unknown,unknown,500528,0,huggingface
meta-llama/Prompt-Guard-86M,1000000000.0,,,fine-tune,text-classification,500045,338,huggingface
circulus/canvers-en2ko-v1,,,,unknown,unknown,499923,0,huggingface
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,32000000000.0,,,fine-tune,unknown,499458,653,huggingface
danielheinz/e5-base-sts-en-de,,,,fine-tune,feature-extraction,498810,17,huggingface
Qwen/Qwen2.5-3B,72000000000.0,,,unknown,text-generation,498657,188,huggingface
Qwen/Qwen3-235B-A22B,235000000000.0,,,pre-train,text-generation,498049,1093,huggingface
cardiffnlp/twitter-xlm-roberta-base,198000000000.0,,,pre-train,fill-mask,497680,19,huggingface
s-nlp/roberta_toxicity_classifier,2000000.0,,,pre-train,text-classification,496856,72,huggingface
google/medgemma-27b-it,27000000000.0,,,fine-tune,image-text-to-text,494929,361,huggingface
nomic-ai/nomic-embed-code,7000000000.0,,,pre-train,sentence-similarity,494131,121,huggingface
Comfy-Org/HunyuanVideo_1.5_repackaged,,,,unknown,unknown,492496,87,huggingface
unslothai/other,,,,unknown,feature-extraction,491679,0,huggingface
HauhauCS/Qwen3.6-27B-Uncensored-HauhauCS-Aggressive,27000000000.0,,,unknown,image-text-to-text,489598,430,huggingface
stepfun-ai/Step3-VL-10B,10000000000.0,a100,400.0,pre-train,image-text-to-text,489397,406,huggingface
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,32000000000.0,,,fine-tune,text-generation,489220,1563,huggingface
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,32000000000.0,,,fine-tune,text-generation,489121,842,huggingface
rhasspy/faster-whisper-small-int8,,,,unknown,unknown,488996,1,huggingface
NeuML/pubmedbert-base-embeddings,,,,pre-train,sentence-similarity,488428,189,huggingface
autogluon/chronos-bolt-mini,100000000000.0,,,pre-train,time-series-forecasting,488222,8,huggingface
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-FP8,120000000000.0,a100,400.0,fine-tune,text-generation,487387,257,huggingface
Qwen/Qwen2.5-VL-72B-Instruct,72000000000.0,t4,70.0,pre-train,image-text-to-text,487342,628,huggingface
minishlab/potion-base-4M,6000000000.0,,,pre-train,unknown,486847,9,huggingface
RedHatAI/gemma-4-26B-A4B-it-FP8-Dynamic,26000000000.0,,,unknown,unknown,486457,30,huggingface
microsoft/Phi-4-multimodal-instruct,7000000000.0,a100,400.0,fine-tune,automatic-speech-recognition,483742,1601,huggingface
sentence-transformers/msmarco-bert-base-dot-v5,9000000.0,,,pre-train,sentence-similarity,483537,21,huggingface
mixedbread-ai/deepset-mxbai-embed-de-large-v1,7000000000.0,l4,72.0,fine-tune,feature-extraction,483109,59,huggingface
laion/clap-htsat-unfused,,,,pre-train,feature-extraction,481535,74,huggingface
TaylorAI/bge-micro-v2,,,,pre-train,sentence-similarity,481472,62,huggingface
Yehor/w2v-xls-r-uk,300000000000.0,,,unknown,automatic-speech-recognition,480627,8,huggingface
zai-org/chatglm2-6b,6000000000.0,t4,70.0,pre-train,unknown,479435,2057,huggingface
RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8,8000000000.0,,,pre-train,text-generation,479079,44,huggingface
Qwen/Qwen3-1.7B-GPTQ-Int8,1700000000.0,,,pre-train,text-generation,477610,7,huggingface
kredor/punctuate-all,,,,fine-tune,token-classification,477094,27,huggingface
albert/albert-base-v2,11000000000.0,,,fine-tune,fill-mask,476734,141,huggingface
apple/DFN5B-CLIP-ViT-H-14-378,5000000000.0,,,pre-train,unknown,476034,110,huggingface
unslothai/vram-16,,,,unknown,feature-extraction,475320,0,huggingface
mistralai/Mistral-7B-v0.1,7000000000.0,,,pre-train,text-generation,474812,4108,huggingface
PaddlePaddle/UVDoc,,,,unknown,image-to-text,474551,10,huggingface
yikuan8/Clinical-Longformer,,v100,300.0,pre-train,fill-mask,474421,69,huggingface
Helsinki-NLP/opus-mt-ar-en,,,,unknown,translation,474413,50,huggingface
microsoft/VibeVoice-ASR-HF,1000000000.0,,,pre-train,audio-text-to-text,472648,147,huggingface
google/gemma-4-31B,2000000000.0,,,pre-train,image-text-to-text,472540,410,huggingface
unslothai/lambda,,,,unknown,feature-extraction,471659,0,huggingface
openai/whisper-medium,39000000000.0,,,fine-tune,automatic-speech-recognition,471542,284,huggingface
Qwen/Qwen3-0.6B-Base,600000000.0,,,pre-train,text-generation,470819,173,huggingface
nvidia/Nemotron-3-Nano-Omni-30B-A3B-Reasoning-BF16,1000000000.0,a100,400.0,fine-tune,any-to-any,470563,341,huggingface
peft-internal-testing/tiny-random-OPTForCausalLM,,,,fine-tune,text-generation,468841,0,huggingface
microsoft/graphcodebert-base,2300000000.0,,,pre-train,fill-mask,466787,89,huggingface
ibm-granite/granite-speech-3.3-2b,2000000000.0,h100,700.0,fine-tune,automatic-speech-recognition,466013,55,huggingface
rinna/japanese-roberta-base,,v100,300.0,pre-train,fill-mask,463664,39,huggingface
zai-org/GLM-4.1V-9B-Thinking,9000000000.0,,,pre-train,image-text-to-text,463321,776,huggingface
Revai/reverb-diarization-v1,,,,pre-train,automatic-speech-recognition,463126,13,huggingface
deepseek-ai/deepseek-coder-7b-instruct-v1.5,7000000000.0,,,fine-tune,text-generation,461794,155,huggingface
casperhansen/deepseek-r1-distill-qwen-32b-awq,,,,unknown,unknown,461037,11,huggingface
Comfy-Org/flux1-dev,,,,unknown,unknown,458219,627,huggingface
facebook/esm2_t36_3B_UR50D,15000000000.0,t4,70.0,unknown,fill-mask,456947,32,huggingface
google/flan-t5-large,540000000000.0,,,fine-tune,unknown,456482,888,huggingface
casperhansen/mistral-nemo-instruct-2407-awq,,,,unknown,text-generation,456318,12,huggingface
PekingU/rtdetr_v2_r50vd,,,,pre-train,object-detection,454401,28,huggingface
bkai-foundation-models/vietnamese-bi-encoder,,,,pre-train,sentence-similarity,452186,73,huggingface
facebook/bart-base,,,,fine-tune,feature-extraction,452067,205,huggingface
ibm-research/MoLFormer-XL-both-10pct,1100000000.0,v100,300.0,fine-tune,feature-extraction,451222,35,huggingface
nvidia/Nemotron-Labs-Diffusion-8B-Base,8000000000.0,,,pre-train,text-generation,448527,6,huggingface
Intel/Qwen3.5-122B-A10B-int4-AutoRound,122000000000.0,t4,70.0,pre-train,unknown,447897,41,huggingface
Helsinki-NLP/opus-mt-de-en,,,,unknown,translation,447679,50,huggingface
Qwen/Qwen2.5-32B-Instruct-GPTQ-Int4,72000000000.0,t4,70.0,pre-train,text-generation,446772,40,huggingface
Lightricks/LTX-Video,13000000000.0,,,pre-train,image-to-video,446216,2198,huggingface
google/medgemma-4b-it,4000000000.0,,,fine-tune,image-text-to-text,445609,977,huggingface
speakleash/Bielik-11B-v3.0-Instruct,11000000000.0,,,fine-tune,unknown,444806,62,huggingface
Jackrong/Qwopus3.6-35B-A3B-v1-GGUF,35000000000.0,,,fine-tune,image-text-to-text,444425,193,huggingface
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,32000000000.0,,,fine-tune,text-generation,443773,863,huggingface
antoinelouis/crossencoder-camembert-base-mmarcoFR,8800000000.0,h100,700.0,fine-tune,text-ranking,442742,7,huggingface
google-bert/bert-base-german-cased,,,,unknown,fill-mask,442278,82,huggingface
CompVis/stable-diffusion-v1-4,5000000000.0,a100,400.0,fine-tune,text-to-image,441018,7020,huggingface
microsoft/phi-2,2700000000.0,a100,400.0,fine-tune,text-generation,440531,3469,huggingface
Kijai/WanVideo_comfy_fp8_scaled,14000000000.0,,,unknown,unknown,440198,687,huggingface
bigscience/bloom-560m,350000000000.0,a100,400.0,fine-tune,text-generation,438733,374,huggingface
nvidia/Nemotron-Mini-4B-Instruct,4000000000.0,,,fine-tune,text-generation,438408,182,huggingface
nvidia/bigvgan_v2_44khz_128band_512x,122000000000.0,a100,400.0,fine-tune,audio-to-audio,436225,74,huggingface
nvidia/Llama-3.1-8B-Instruct-FP8,8000000000.0,h100,700.0,unknown,text-generation,435043,37,huggingface
laion/CLIP-convnext_base_w-laion2B-s13B-b82K-augreg,2000000000.0,a100,400.0,unknown,zero-shot-image-classification,434905,8,huggingface
allenai/specter2_base,6000000000.0,,,fine-tune,feature-extraction,434441,45,huggingface
bigscience/bloomz-560m,3670000000.0,a100,400.0,fine-tune,text-generation,433838,137,huggingface
hantian/layoutreader,,,,unknown,token-classification,432873,43,huggingface
segment-any-text/sat-3l-sm,,,,unknown,token-classification,432535,12,huggingface
deepvk/USER-bge-m3,,,,pre-train,sentence-similarity,432014,79,huggingface
sakamakismile/Qwen3.6-27B-Text-NVFP4-MTP,27000000000.0,,,pre-train,text-generation,429905,72,huggingface
depth-anything/DA3METRIC-LARGE,350000000.0,,,pre-train,depth-estimation,427315,19,huggingface
Salesforce/moirai-2.0-R-small,,,,pre-train,time-series-forecasting,427252,43,huggingface
Helsinki-NLP/opus-mt-it-en,,,,unknown,translation,425184,18,huggingface
ibm-granite/granite-docling-258M,258000000000.0,h100,700.0,fine-tune,image-text-to-text,424090,1188,huggingface
meta-llama/Llama-4-Scout-17B-16E-Instruct,17000000000.0,h100,700.0,pre-train,image-text-to-text,421808,1304,huggingface
Dream-org/Dream-v0-Instruct-7B,7000000000.0,,,unknown,text-generation,421037,157,huggingface
indobenchmark/indobert-base-p1,4000000000.0,,,pre-train,feature-extraction,419965,49,huggingface
jonatasgrosman/wav2vec2-large-xlsr-53-greek,,,,fine-tune,automatic-speech-recognition,419957,3,huggingface
dragonkue/BGE-m3-ko,9000000000.0,,,unknown,sentence-similarity,419758,76,huggingface
PaddlePaddle/PP-LCNet_x1_0_doc_ori,,,,unknown,image-to-text,419595,15,huggingface
Freepik/nsfw_image_detector,,rtx 3090,350.0,fine-tune,image-classification,419565,58,huggingface
google/medgemma-1.5-4b-it,4000000000.0,,,fine-tune,image-text-to-text,419551,667,huggingface
lmsys/gpt-oss-20b-bf16,20000000000.0,,,unknown,unknown,419049,11,huggingface
biu-nlp/f-coref,,v100,300.0,unknown,unknown,418454,19,huggingface
jonatasgrosman/wav2vec2-large-xlsr-53-arabic,,,,fine-tune,automatic-speech-recognition,417962,54,huggingface
tohoku-nlp/bert-base-japanese,17000000000.0,,,pre-train,fill-mask,417391,41,huggingface
trl-internal-testing/tiny-random-LlamaForCausalLM,,,,fine-tune,text-generation,416156,8,huggingface
mlx-community/parakeet-tdt-0.6b-v2,600000000.0,,,unknown,automatic-speech-recognition,415976,42,huggingface
lmstudio-community/Qwen3.5-9B-GGUF,9000000000.0,,,unknown,unknown,415204,42,huggingface
facebook/seamless-m4t-v2-large,2300000000.0,,,pre-train,automatic-speech-recognition,414594,984,huggingface
trl-internal-testing/tiny-Qwen2_5_VLForConditionalGeneration,,,,unknown,image-text-to-text,414344,0,huggingface
cointegrated/rubert-tiny2,,,,fine-tune,sentence-similarity,413911,171,huggingface
pysentimiento/robertuito-sentiment-analysis,500000000.0,,,pre-train,text-classification,413906,100,huggingface
GPTCache/paraphrase-albert-small-v2,,,,unknown,feature-extraction,413536,2,huggingface
Helsinki-NLP/opus-mt-en-ar,30000000000.0,,,unknown,translation,412110,47,huggingface
ansulev/Darwin-9B-NEG,9000000000.0,,,pre-train,text-generation,412082,15,huggingface
nomic-ai/CodeRankEmbed,1300000000.0,,,fine-tune,unknown,411738,72,huggingface
jason9693/Qwen2.5-1.5B-apeach,,,,fine-tune,text-classification,410845,6,huggingface
emilyalsentzer/Bio_Discharge_Summary_BERT,880000000000.0,,,pre-train,fill-mask,410031,38,huggingface
Snowflake/snowflake-arctic-embed-m-v1.5,109000000000.0,t4,70.0,pre-train,sentence-similarity,409041,72,huggingface
ibm-granite/granite-timeseries-ttm-r1,1000000.0,a100,400.0,fine-tune,time-series-forecasting,408692,326,huggingface
DeepPavlov/rubert-base-cased,180000000000.0,,,unknown,feature-extraction,407510,129,huggingface
hmellor/tiny-random-Gemma2ForCausalLM,,,,fine-tune,text-generation,406129,0,huggingface
OpenVINO/Phi-3.5-vision-instruct-int8-ov,,,,pre-train,image-text-to-text,405430,2,huggingface
fastino/gliner2-base-v1,1000000000.0,,,pre-train,unknown,405294,87,huggingface
facebook/dino-vitb16,,,,fine-tune,image-feature-extraction,405003,112,huggingface
Systran/faster-whisper-medium,,,,unknown,automatic-speech-recognition,404064,47,huggingface
Snowflake/snowflake-arctic-embed-m,400000000000.0,,,pre-train,sentence-similarity,403786,165,huggingface
Qwen/Qwen3-ForcedAligner-0.6B,1700000000.0,,,pre-train,automatic-speech-recognition,403677,140,huggingface
dccuchile/bert-base-spanish-wwm-uncased,2000000000.0,l4,72.0,pre-train,fill-mask,403662,75,huggingface
allenai/OLMo-2-0425-1B,1000000000.0,,,fine-tune,text-generation,403634,78,huggingface
lightx2v/Qwen-Image-Lightning,1.01007118e+17,,,pre-train,text-to-image,403374,802,huggingface
Qwen/Qwen2.5-VL-32B-Instruct,72000000000.0,,,pre-train,image-text-to-text,402849,490,huggingface
unsloth/Qwen2.5-7B-Instruct-bnb-4bit,72000000000.0,t4,70.0,fine-tune,text-generation,399157,23,huggingface
pyannote/embedding,,,,pre-train,unknown,397307,213,huggingface
FremyCompany/BioLORD-2023,,,,fine-tune,sentence-similarity,397245,53,huggingface
nvidia/speakerverification_en_titanet_large,23000000000.0,,,pre-train,unknown,397161,121,huggingface
Qwen/Qwen3-8B-Base,8000000000.0,,,pre-train,text-generation,395477,107,huggingface
trl-internal-testing/tiny-GptOssForCausalLM,,,,unknown,text-generation,394857,4,huggingface
google/gemma-2-9b-it,9000000000.0,,,pre-train,text-generation,394810,826,huggingface
dascim/juribert-base,6000000000.0,,,pre-train,fill-mask,394625,0,huggingface
EleutherAI/gpt-neo-125m,300000000000.0,,,pre-train,text-generation,392096,228,huggingface
facebook/wav2vec2-xls-r-300m,2000000000.0,,,fine-tune,unknown,392044,126,huggingface
timm/resnet34.a1_in1k,,,,pre-train,image-classification,390504,1,huggingface
HuggingFaceM4/Idefics3-8B-Llama3,80000000000.0,,,pre-train,image-text-to-text,390499,304,huggingface
mistralai/Mistral-Medium-3.5-128B,128000000000.0,h100,700.0,pre-train,unknown,390474,349,huggingface
openbmb/MiniCPM-o-2_6,7000000000.0,t4,70.0,pre-train,any-to-any,390321,1291,huggingface
nvidia/NVIDIA-Nemotron-Parse-v1.1,1000000000.0,a100,400.0,fine-tune,image-text-to-text,389707,169,huggingface
SmilingWolf/wd-swinv2-tagger-v3,,,,unknown,unknown,389007,88,huggingface
mlabonne/Qwen3-30B-A3B-abliterated,30000000000.0,,,unknown,text-generation,388715,37,huggingface
ncbi/MedCPT-Cross-Encoder,,,,pre-train,text-classification,388401,30,huggingface
black-forest-labs/FLUX.2-klein-4B,4000000000.0,rtx 3090,350.0,pre-train,image-to-image,387529,718,huggingface
openai-community/gpt2-medium,40000000000.0,,,fine-tune,text-generation,387297,205,huggingface
neuphonic/neucodec,,,,pre-train,audio-to-audio,386837,108,huggingface
nvidia/MiniMax-M2.7-NVFP4,230000000000.0,,,fine-tune,text-generation,385107,54,huggingface
NexVeridian/Qwen3-Coder-Next-8bit,,,,unknown,text-generation,383758,3,huggingface
google/gemma-4-31B-it-assistant,2000000000.0,,,pre-train,any-to-any,383509,298,huggingface
unsloth/Meta-Llama-3.1-8B-Instruct,8000000000.0,t4,70.0,fine-tune,text-generation,383271,97,huggingface
cl-nagoya/ruri-v3-310m,1000000000.0,,,unknown,sentence-similarity,381560,76,huggingface
lmstudio-community/Qwen3.6-27B-GGUF,27000000000.0,,,unknown,unknown,380036,24,huggingface
mlx-community/gpt-oss-20b-MXFP4-Q8,20000000000.0,,,unknown,text-generation,379753,63,huggingface
laion/CLIP-ViT-H-14-laion2B-s32B-b79K,2000000000.0,,,unknown,zero-shot-image-classification,379544,462,huggingface
microsoft/swinv2-tiny-patch4-window16-256,,,,fine-tune,image-classification,379412,13,huggingface
ggml-org/gemma-4-26B-A4B-it-GGUF,26000000000.0,,,unknown,unknown,379306,73,huggingface
Systran/faster-whisper-tiny,,,,unknown,automatic-speech-recognition,378910,21,huggingface
ISTA-DASLab/gemma-3-27b-it-GPTQ-4b-128g,27000000000.0,t4,70.0,pre-train,image-text-to-text,377489,44,huggingface
VLTX/VertaLily-1.2-1B-GGUF,1000000000.0,,,pre-train,text-generation,376930,1,huggingface
facebook/vjepa2-vitg-fpc64-256,,,,pre-train,video-classification,375791,55,huggingface
IlyaGusev/saiga_llama3_8b,8000000000.0,t4,70.0,pre-train,text-generation,375536,141,huggingface
LuffyTheFox/Qwen3.6-35B-A3B-Uncensored-Wasserstein-GGUF,35000000000.0,,,unknown,image-text-to-text,374973,101,huggingface
obi/deid_roberta_i2b2,,,,fine-tune,token-classification,374269,39,huggingface
LazarusNLP/all-indo-e5-small-v4,,,,pre-train,sentence-similarity,373839,13,huggingface
unsloth/gemma-4-E4B-it-unsloth-bnb-4bit,4000000000.0,,,fine-tune,image-text-to-text,373630,21,huggingface
thenlper/gte-base,,,,pre-train,sentence-similarity,373565,131,huggingface
google/gemma-3n-E2B-it,4000000000.0,,,pre-train,image-text-to-text,372825,305,huggingface
deepseek-ai/DeepSeek-V2-Lite,16000000000.0,,,pre-train,text-generation,372688,178,huggingface
unsloth/Llama-3.2-1B-Instruct,1000000000.0,t4,70.0,fine-tune,text-generation,372166,97,huggingface
fastino/gliner2-large-v1,1000000000.0,,,pre-train,unknown,371979,85,huggingface
lmstudio-community/gemma-4-E4B-it-MLX-4bit,4000000000.0,,,unknown,any-to-any,371329,12,huggingface
OBLITERATUS/gemma-4-E4B-it-OBLITERATED,4000000000.0,,,pre-train,text-generation,370905,694,huggingface
microsoft/rad-dino,,a100,400.0,fine-tune,image-feature-extraction,369920,76,huggingface
yyfz233/Pi3,,,,pre-train,image-to-3d,369063,15,huggingface
Qwen/Qwen3-32B-FP8,32000000000.0,,,pre-train,text-generation,368956,83,huggingface
DeepBeepMeep/Wan2.1,1300000000.0,,,unknown,unknown,367607,39,huggingface
liuhaotian/llava-v1.5-7b,7000000000.0,,,unknown,image-text-to-text,367367,555,huggingface
cambridgeltl/SapBERT-from-PubMedBERT-fulltext-mean-token,4000000000.0,,,pre-train,feature-extraction,366257,2,huggingface
ibm-granite/granite-timeseries-ttm-r2,1000000000.0,t4,70.0,fine-tune,time-series-forecasting,364129,163,huggingface
cyankiwi/Qwen3.5-35B-A3B-AWQ-4bit,35000000000.0,,,unknown,image-text-to-text,363299,43,huggingface
theainerd/Wav2Vec2-large-xlsr-hindi,1000000000.0,,,fine-tune,automatic-speech-recognition,362900,12,huggingface
dphn/Dolphin3.0-Llama3.1-8B,8000000000.0,h100,700.0,unknown,unknown,361046,311,huggingface
unsloth/mistral-7b-v0.3-bnb-4bit,7000000000.0,t4,70.0,fine-tune,text-generation,360497,22,huggingface
bespin-global/klue-sroberta-base-continue-learning-by-mnr,,,,pre-train,sentence-similarity,360258,31,huggingface
nvidia/parakeet-tdt-0.6b-v2,600000000.0,a100,400.0,pre-train,automatic-speech-recognition,360108,1494,huggingface
nreimers/TinyBERT_L-4_H-312_v2,,,,pre-train,feature-extraction,359588,1,huggingface
Qdrant/multilingual-e5-large-onnx,,,,unknown,sentence-similarity,359512,3,huggingface
